variable,bin,model,n_flights,small_sample_warning,mae_mah,mean_signed_error_mah,mean_underprediction_mah,p95_underprediction_mah
wind_route_regime,crosswind,neural_network__f1_vehicle_symptoms,4,True,9.96079738949311,6.698059094195514,1.6313691476487975,4.829918109800131
wind_route_regime,tailwind,xgboost__f1_vehicle_symptoms,19,False,60.913337549555585,-4.383757238068651,32.648547393812116,154.30164306640594
wind_route_regime,headwind,xgboost__f1_vehicle_symptoms,16,False,76.12988837376108,-24.903071624188335,50.5164799989747,169.75781097412096
wind_route_regime,crosswind,xgboost__f1_vehicle_symptoms,4,True,30.317362988684835,30.317362988684835,0.0,0.0
wind_route_regime,tailwind,ridge__f2_physics_informed,19,False,25.09702500411281,2.440651950775604,11.328186526668603,31.81163526419539
wind_route_regime,headwind,ridge__f2_physics_informed,16,False,40.03417836665923,-6.0930583815512875,23.06361837410526,104.12891019564296
wind_route_regime,crosswind,ridge__f2_physics_informed,4,True,23.153061575918258,-18.59753846618375,20.875300021051004,42.90526470873858
wind_route_regime,tailwind,neural_network__f2_physics_informed,19,False,32.41157962524075,0.5898155747139048,15.91088202526342,51.97683939739748
wind_route_regime,headwind,neural_network__f2_physics_informed,16,False,40.390310131483716,-19.836672915725643,30.11349152360468,84.6875538837171
wind_route_regime,crosswind,neural_network__f2_physics_informed,4,True,25.585537380425507,-2.311194076524913,13.94836572847521,28.50308173828582
wind_route_regime,tailwind,xgboost__f2_physics_informed,19,False,41.82958890193957,-28.35350307482852,35.09154598838405,114.6053112792968
wind_route_regime,headwind,xgboost__f2_physics_informed,16,False,45.97979586735246,2.095623749346821,21.94208605900282,91.97479095458971
wind_route_regime,crosswind,xgboost__f2_physics_informed,4,True,65.34370881388006,40.73968049356765,12.302014160156205,41.82684814453108
wind_route_regime,tailwind,neural_network_true_wind_oracle,19,False,24.88069352103431,2.4979942522137972,11.191349634410257,34.72817847964784
wind_route_regime,headwind,neural_network_true_wind_oracle,16,False,48.12628569958522,-5.422856454157007,26.774571076871112,91.54216840729327
wind_route_regime,crosswind,neural_network_true_wind_oracle,4,True,25.546926542089096,8.141300135562489,8.702813203263304,22.06731713021986
wind_route_regime,tailwind,xgboost_true_wind_oracle,19,False,45.08500084862495,-22.81951934230385,33.952260095464396,102.79489013671848
wind_route_regime,headwind,xgboost_true_wind_oracle,16,False,63.20847476139539,0.07152249202260208,31.568476134686392,117.80381276784851
wind_route_regime,crosswind,xgboost_true_wind_oracle,4,True,8.360539258215994,1.2420456058723346,3.5592468261718295,12.101439208984216
payload_mass,mid,training_mean,14,False,351.83825047687975,-48.49884897037616,200.168549723628,705.6742201504185
payload_mass,high,training_mean,11,False,472.6638470116819,-93.92589509382225,283.29487105275206,864.0478767666293
payload_mass,low,training_mean,14,False,375.6099495985242,154.53486347210523,110.5375430632095,356.01114703030146
payload_mass,mid,nominal_time_x_current,14,False,144.77015184192712,-126.2136644980706,135.49190816999885,333.7327904313029
payload_mass,high,nominal_time_x_current,11,False,162.10854204190906,-78.862314840608,120.48542844125853,350.2822860823562
payload_mass,low,nominal_time_x_current,14,False,195.50067418280508,-195.50067418280508,195.50067418280508,454.61531625895094
payload_mass,mid,px4_style_multicopter_time_x_current,14,False,170.49259609322328,-170.49259609322328,170.49259609322328,327.3255707371505
payload_mass,high,px4_style_multicopter_time_x_current,11,False,183.9365398326179,-183.9365398326179,183.9365398326179,465.9905287096128
payload_mass,low,px4_style_multicopter_time_x_current,14,False,111.90352697102422,-111.90352697102422,111.90352697102422,191.82607477623472
payload_mass,mid,ridge__f0_route_and_wind,14,False,46.55234223832408,-25.279883455619395,35.916112846971735,113.77139043694636
payload_mass,high,ridge__f0_route_and_wind,11,False,101.64904176462561,8.33309673245414,46.657972516085735,211.07774257936106
payload_mass,low,ridge__f0_route_and_wind,14,False,69.45404222014893,28.88760511097353,20.2832185545877,90.75213589254102
payload_mass,mid,neural_network__f0_route_and_wind,14,False,22.940551974315593,14.420884822164444,4.259833576075574,22.126442036634934
payload_mass,high,neural_network__f0_route_and_wind,11,False,70.42663449024191,23.128622361923508,23.649006064159206,130.06953335287562
payload_mass,low,neural_network__f0_route_and_wind,14,False,29.908459829738117,12.1644718137895,8.871994007974308,41.90254344600308
payload_mass,mid,xgboost__f0_route_and_wind,14,False,63.914143003173216,-41.597355870738895,52.75574943695606,162.6102282714843
payload_mass,high,xgboost__f0_route_and_wind,11,False,80.68237235329363,-18.47711084539239,49.57974159934301,172.78151550292955
payload_mass,low,xgboost__f0_route_and_wind,14,False,38.96341694423139,14.363423919677757,12.299996512276818,47.36605529785149
payload_mass,mid,ridge__f1_vehicle_symptoms,14,False,37.06491437029024,-20.35392376180203,28.709419066046134,103.42963788189658
payload_mass,high,ridge__f1_vehicle_symptoms,11,False,100.64657355015324,20.56923824769434,40.03866765122945,198.22679604845098
payload_mass,low,ridge__f1_vehicle_symptoms,14,False,76.83976703497991,31.84459093320669,22.497588050886616,86.98897203674127
payload_mass,mid,neural_network__f1_vehicle_symptoms,14,False,31.64821906979395,-14.139478133286811,22.89384860154038,63.43295479282525
payload_mass,high,neural_network__f1_vehicle_symptoms,11,False,83.5485635301924,8.70640735324418,37.42107808847411,174.08861010748012
payload_mass,low,neural_network__f1_vehicle_symptoms,14,False,43.091142595930236,26.199174551109973,8.44598402241013,26.228029294854412
payload_mass,mid,xgboost__f1_vehicle_symptoms,14,False,56.20345190649465,-37.909834072468804,47.05664298948172,144.3701892089843
payload_mass,high,xgboost__f1_vehicle_symptoms,11,False,93.06543398770413,-13.253317122025909,53.15937555486502,251.01418151855455
payload_mass,low,xgboost__f1_vehicle_symptoms,14,False,49.00949848720014,22.575220271519274,13.217139107840435,65.81822814941401
payload_mass,mid,ridge__f2_physics_informed,14,False,22.563884295072366,-14.408464590686549,18.486174442879456,74.03891129021625
payload_mass,high,ridge__f2_physics_informed,11,False,44.35840273185271,-3.5171763649392047,23.93778954839596,123.23311402197578
payload_mass,low,ridge__f2_physics_informed,14,False,29.011840361926513,8.2071959556517,10.402322203137405,42.38179281252387
payload_mass,mid,neural_network__f2_physics_informed,14,False,26.99198107634439,-8.445090015898911,17.71853554612165,41.2761680924447
payload_mass,high,neural_network__f2_physics_informed,11,False,58.03513820809621,-15.767473391177408,36.90130579963681,133.78938837003238
payload_mass,low,neural_network__f2_physics_informed,14,False,24.866633510509708,-1.6965413937578222,13.281587452133765,47.83668929667268
payload_mass,mid,xgboost__f2_physics_informed,14,False,47.878342614292144,5.172960116984322,21.35269124865391,68.66108642578129
payload_mass,high,xgboost__f2_physics_informed,11,False,74.42174668745555,-29.772049366344092,52.09689802689982,163.04299011230455
payload_mass,low,xgboost__f2_physics_informed,14,False,21.634124864850737,-6.2254825047084035,13.92980368477957,52.175682373046705
payload_mass,mid,neural_network_true_wind_oracle,14,False,23.93165150653144,-7.720765392620486,15.826208449575963,41.86167982118495
payload_mass,high,neural_network_true_wind_oracle,11,False,58.30164433350806,2.6583609047381844,27.82164171438494,144.90760944217186
payload_mass,low,neural_network_true_wind_oracle,14,False,26.327160392953065,5.15072382945477,10.588218281749148,31.100788769226043
payload_mass,mid,xgboost_true_wind_oracle,14,False,49.04092421548567,-27.66731087910943,38.35411754729755,95.77101364766271
payload_mass,high,xgboost_true_wind_oracle,11,False,77.13207383589305,-1.6181852860884087,39.375129560990736,161.15468444824205
payload_mass,low,xgboost_true_wind_oracle,14,False,26.169072723388663,-1.593995339529832,13.881534031459248,57.16066131591796
distance_home,far,training_mean,14,False,417.2013907907155,-405.98650486493824,411.5939478278269,840.6420976528599
distance_home,near,training_mean,14,False,519.4523466280797,512.3952590256761,3.528543801201766,17.289864625888633
distance_home,mid,training_mean,11,False,206.40225402918412,-94.40029102346972,150.40127252632692,499.2264198574496
distance_home,far,nominal_time_x_current,14,False,288.76864912586956,-250.60753380055243,269.68809146321104,470.3238107265184
distance_home,near,nominal_time_x_current,14,False,100.5577731575668,-77.3251631254254,88.94146814149612,169.3770035926072
distance_home,mid,nominal_time_x_current,11,False,99.67414680355827,-70.94804071047794,85.31109375701811,177.62794442537188
distance_home,far,px4_style_multicopter_time_x_current,14,False,155.27753591385053,-155.27753591385053,155.27753591385053,373.605756299439
distance_home,near,px4_style_multicopter_time_x_current,14,False,116.4597461413039,-116.4597461413039,116.4597461413039,198.56212095862685
